               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/void_mAP, metrics/void_mAP_50
                  75,            0.029642,            0.032573,                   0,             0.89225,             0.77548,             0.86688,             0.61154,            0.031022,            0.030033,                   0,            0.002674,            0.002674,            0.002674,             0.61154,             0.86688
                  76,            0.029777,            0.031563,                   0,             0.89625,             0.77687,             0.86761,             0.60974,            0.031545,            0.029937,                   0,            0.002575,            0.002575,            0.002575,             0.60974,             0.86761
                  77,            0.029335,            0.032282,                   0,             0.85452,             0.79748,              0.8648,             0.61305,            0.031325,            0.029893,                   0,            0.002476,            0.002476,            0.002476,             0.61305,              0.8648
                  78,            0.028925,            0.031662,                   0,              0.8893,             0.77762,             0.86159,             0.61157,            0.031116,            0.030346,                   0,            0.002377,            0.002377,            0.002377,             0.61157,             0.86159
                  79,            0.028887,            0.031393,                   0,             0.89017,             0.78567,             0.86625,             0.62001,            0.030893,            0.029756,                   0,            0.002278,            0.002278,            0.002278,             0.62001,             0.86625
                  80,            0.028898,            0.031375,                   0,             0.88355,             0.77121,             0.86455,             0.61708,            0.030951,            0.030767,                   0,            0.002179,            0.002179,            0.002179,             0.61708,             0.86455
                  81,            0.029009,            0.031804,                   0,             0.87935,             0.78795,             0.86201,             0.62266,            0.030903,            0.030474,                   0,             0.00208,             0.00208,             0.00208,             0.62266,             0.86201
                  82,            0.028314,            0.030828,                   0,             0.90503,             0.76367,             0.86179,             0.62123,             0.03093,            0.030636,                   0,            0.001981,            0.001981,            0.001981,             0.62123,             0.86179
                  83,             0.02842,            0.031016,                   0,             0.87801,             0.78064,             0.86668,             0.61964,            0.030508,            0.030535,                   0,            0.001882,            0.001882,            0.001882,             0.61964,             0.86668
                  84,            0.028077,            0.031057,                   0,             0.87251,             0.78716,             0.86944,             0.62462,              0.0306,            0.030147,                   0,            0.001783,            0.001783,            0.001783,             0.62462,             0.86944
                  85,            0.028305,            0.030472,                   0,             0.90581,             0.78316,             0.87169,             0.62975,            0.030385,            0.029847,                   0,            0.001684,            0.001684,            0.001684,             0.62975,             0.87169
                  86,            0.028318,             0.03024,                   0,             0.90106,             0.77844,             0.87339,             0.62659,            0.030451,            0.030004,                   0,            0.001585,            0.001585,            0.001585,             0.62659,             0.87339
                  87,            0.028012,            0.030586,                   0,             0.89212,             0.77813,             0.86535,             0.62131,            0.030396,            0.030476,                   0,            0.001486,            0.001486,            0.001486,             0.62131,             0.86535
                  88,            0.027677,            0.029797,                   0,             0.88848,             0.79195,             0.87371,             0.63555,            0.030259,            0.030059,                   0,            0.001387,            0.001387,            0.001387,             0.63555,             0.87371
                  89,            0.027794,            0.030472,                   0,             0.90408,              0.7863,             0.87016,             0.63494,            0.030452,            0.030008,                   0,            0.001288,            0.001288,            0.001288,             0.63494,             0.87016
                  90,            0.027889,            0.030319,                   0,             0.89323,               0.794,              0.8721,             0.63464,            0.030342,            0.030361,                   0,            0.001189,            0.001189,            0.001189,             0.63464,              0.8721
                  91,             0.02737,            0.030169,                   0,             0.89374,             0.78253,             0.86418,             0.63105,            0.030303,            0.030666,                   0,             0.00109,             0.00109,             0.00109,             0.63105,             0.86418
                  92,            0.027132,             0.03001,                   0,             0.90144,             0.77606,             0.86808,             0.63386,            0.030028,            0.030435,                   0,            0.000991,            0.000991,            0.000991,             0.63386,             0.86808
                  93,            0.027055,            0.029657,                   0,             0.89286,             0.79384,             0.87174,             0.63844,            0.029897,            0.030489,                   0,            0.000892,            0.000892,            0.000892,             0.63844,             0.87174
                  94,            0.026972,             0.02928,                   0,             0.89927,             0.78441,              0.8685,             0.63822,            0.029874,            0.030178,                   0,            0.000793,            0.000793,            0.000793,             0.63822,              0.8685
                  95,            0.026621,            0.028562,                   0,             0.91047,             0.78001,              0.8722,             0.63821,            0.029755,            0.030129,                   0,            0.000694,            0.000694,            0.000694,             0.63821,              0.8722
                  96,            0.026922,            0.029493,                   0,             0.90449,             0.77379,             0.87054,              0.6399,            0.029921,            0.030241,                   0,            0.000595,            0.000595,            0.000595,              0.6399,             0.87054
                  97,            0.027243,            0.028835,                   0,             0.91209,             0.77938,              0.8731,             0.64222,            0.029843,            0.030202,                   0,            0.000496,            0.000496,            0.000496,             0.64222,              0.8731
                  98,            0.027339,              0.0295,                   0,             0.90505,             0.77887,             0.87167,             0.64342,            0.029503,            0.030056,                   0,            0.000397,            0.000397,            0.000397,             0.64342,             0.87167
                  99,            0.026213,             0.02876,                   0,              0.8945,             0.78064,             0.87289,             0.64458,            0.029554,            0.030077,                   0,            0.000298,            0.000298,            0.000298,             0.64458,             0.87289
